Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Max Heart Rate,Relative Effort,Commute,Activity Private Note,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,Type,Start Time,Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,Jump Count,Total Grit,Average Flow,Flagged,Average Elapsed Speed,Dirt Distance,Newly Explored Distance,Newly Explored Dirt Distance,Activity Count,Total Steps,Carbon Saved,Pool Length,Training Load,Intensity,Average Grade Adjusted Pace,Timer Time,Total Cycles,Recovery,With Pet,Competition,Long Run,For a Cause,With Kid,Downhill Distance,Total Sets,Total Reps,Media
19866250719,"Aug 23, 2026, 2:00:32 PM",Slow run w Ty and Juan,Run,"",2249,6.44,161.0,44,false,,,activities/21001213759.fit.gz,,,2249.0,2249.0,6442.9,3.78,2.865,24.2,22.1,38.7,54.3,4.7,0.0,,,90.0,85.0,161.0,147.0,,289.0,454.0,,,44.0,649964.0,,,,,,,,289.0,2250.0,,,0.0,,1.0,6463.8,1787493600.0,2.0,25.3,28.1,23.7,0.91,1015.3,0.8,2.9,231.0,1.3,1787482898.0,1787529692.0,0.375,,,0.78,5.0,0.53,16837.0,3.0,,,,,,2.865,159.9,,,,6350.0,0.0,,220.0,188.0,2.874,,,,,,,,,,,,||media/A0BBCB1A-EBE9-4B7A-AFF0-51E63B2AEA4B.jpg
19855641340,"Aug 22, 2026, 6:18:30 PM",Afternoon Basketball,Workout,,5518,0.95,175.0,40,false,,,activities/20990261417.fit.gz,,,5518.0,5518.0,956.9,3.729,0.173,0.0,0.0,,,0.0,0.0,,,113.0,68.0,175.0,119.0,,,630.0,,,40.0,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.173,0.0,,,,,0.0,,,,,,5950.0,,,,,,,,,,""
19838232321,"Aug 21, 2026, 2:35:21 PM",SW Chest x Back,Weight Training,"",1273,0,145.0,3,false,,,activities/20972403741.fit.gz,,,1273.0,1273.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,145.0,109.0,,,130.0,,,3.0,,,,,,,,,,,,,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,,,,,,20.0,,0.0,,,,,,1,10,media/23E46963-C67D-4E7D-8218-59BFAAC030F7.jpg
19836724076,"Aug 21, 2026, 11:55:13 AM",Morning Run,Run,Booooooooooom [strava://athletes/169843638/14]Josh Eisenberg strong start lad 🫡,3424,9.67,169.0,66,false,,,activities/20970867516.fit.gz,,,3424.0,3393.0,9677.2,3.64,2.852,36.4,36.4,33.6,50.6,5.6,0.0,,,89.0,84.0,169.0,147.0,,288.0,676.0,,,66.0,978291.0,,,,,,,,288.0,3426.0,,,0.0,,1.0,9714.2,1787310000.0,1.0,22.4,23.8,22.1,0.98,1017.0,1.2,1.3,348.0,0.0,1787310031.0,1787357022.0,0.375,,,0.45,5.0,0.26,13422.0,0.0,,,,,,2.826,0.0,,,,9530.0,0.0,,332.0,187.0,2.863,,,,,,,,,,,,||media/37C5FC87-44BA-4E75-8A0A-DC2107B6C310.jpg
19831217555,"Aug 21, 2026, 1:19:20 AM",One quick one - it's pouring,Run,Not crazy effort - [strava://athletes/166313645/10]Ty Stevens done for the under 7 challenge,407,1.62,183.0,20,false,,,activities/20965132336.fit.gz,,,407.0,407.0,1619.7,4.5,3.98,7.6,4.6,43.7,48.4,3.3,0.2,,,92.0,88.0,183.0,169.0,,397.0,97.0,,,20.0,161858.0,,,,,,,,384.0,408.0,,,0.0,,1.0,1632.3,1787274000.0,5.0,23.8,25.4,22.4,0.92,1016.0,1.3,3.1,171.0,0.4,1787223597.0,1787270685.0,0.25,,,1.0,5.0,0.58,17570.0,0.0,,,,,,3.98,0.0,,,,1196.0,0.0,,70.0,249.0,4.011,,,,,,,,,,,,|
19814536389,"Aug 19, 2026, 8:16:11 PM",Afternoon Run - zero HR checking,Run,First mile warm up - second mile sprint tempos - it's way to fucking hot for this shit,976,3.25,187.0,41,false,,,activities/20948020140.fit.gz,,,976.0,976.0,3253.4,5.6,3.333,0.0,0.0,38.0,38.6,1.7,0.0,,,93.0,85.0,187.0,165.0,,331.0,224.0,,,41.0,322578.0,,,,,,,,327.0,977.0,,,0.0,,1.0,3255.8,1787169600.0,1.0,34.3,37.0,25.4,0.6,1013.9,2.3,3.5,284.0,0.0,1787137164.0,1787184348.0,0.125,,,0.41,5.0,0.2,30528.0,6.0,,,,,,3.333,0.0,,,,2756.0,0.0,,122.0,212.0,3.336,,,,,,,,,,,,||media/11A92927-87AC-4CBF-BA77-A2E0936000CF.jpg|media/1170B640-DFC9-4B02-9B85-3CACB6D40158.jpg|media/29122EAC-F26D-476E-A694-99180E35E041.jpg
19813919932,"Aug 19, 2026, 6:49:36 PM",Afternoon Weight Training,Weight Training,,2344,0,132.0,5,false,,,activities/20947393712.fit.gz,,,2344.0,2344.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,132.0,97.0,,,172.0,,,5.0,,,,,,,,,,,,,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,,,,,,10.0,,,,,,,,1,5,""
19799343211,"Aug 18, 2026, 7:17:22 PM",Afternoon Weight Training,Weight Training,,2002,0,130.0,4,false,,,activities/20932456974.fit.gz,,,2002.0,2002.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,,130.0,90.0,,,128.0,,,4.0,,,,,,,,,,,,,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,0.0,,,,,,32.0,,,,,,,,2,16,""
19792852852,"Aug 18, 2026, 11:34:32 AM",Run w Ty,Run,Slow pace - good HR,1713,4.86,169.0,32,false,,,activities/20925869751.fit.gz,,,1713.0,1713.0,4861.8,3.64,2.838,20.2,20.2,33.5,42.9,7.1,0.0,,,87.0,84.0,169.0,146.0,,290.0,343.0,,,32.0,497096.0,,,,,,,,290.0,1714.0,,,0.0,,1.0,4884.9,1787050800.0,1.0,26.0,27.8,24.8,0.93,1015.9,1.3,2.0,261.0,0.0,1787050730.0,1787098010.0,0.125,,,0.39,5.0,0.06,15694.0,0.0,,,,,,2.838,0.0,,,,4794.0,0.0,,168.0,188.0,2.852,,,,,,,,,,,,|
19786301727,"Aug 17, 2026, 10:46:23 PM",First gville run back,Run,Hot outside - back hurts,2146,6.44,179.0,75,false,,,activities/20919067577.fit.gz,,,2146.0,2146.0,6445.5,4.16,3.003,31.5,31.3,37.1,53.0,6.1,0.0,,,87.0,83.0,179.0,161.0,,311.0,466.0,,,75.0,668396.0,,,,,,,,310.0,2147.0,,,0.0,,1.0,6475.4,1787004000.0,2.0,31.0,32.3,25.4,0.72,1016.0,4.2,6.7,242.0,0.1,1786964297.0,1787011671.0,0.125,,,0.53,5.0,0.49,19452.0,2.0,,,,,,3.003,1096.7,,,,5972.0,0.0,,241.0,201.0,3.017,,,,,,,,,,,,|
